instance,snapshot,seed,heuristic,hv2d
abz5,0,0,dom,0.8576597880132022
abz5,0,1,dom,0.8576597880132022
abz5,0,2,dom,0.8576597880132022
abz5,0,3,dom,0.8576597880132022
abz5,0,4,dom,0.8576597880132022
abz5,0,0,wdeg,0.908566919825824
abz5,0,1,wdeg,0.908566919825824
abz5,0,2,wdeg,0.908566919825824
abz5,0,3,wdeg,0.908566919825824
abz5,0,4,wdeg,0.908566919825824
abz5,0,0,activity,0.010000000000000018
abz5,0,1,activity,0.010000000000000018
abz5,0,2,activity,0.010000000000000018
abz5,0,3,activity,0.010000000000000018
abz5,0,4,activity,0.010000000000000018
abz5,0,0,mo_dyn_hd_cacd,0.9144268847253288
abz5,0,1,mo_dyn_hd_cacd,0.9144268847253288
abz5,0,2,mo_dyn_hd_cacd,0.9144268847253288
abz5,0,3,mo_dyn_hd_cacd,0.9144268847253288
abz5,0,4,mo_dyn_hd_cacd,0.9144268847253288
abz5,0,0,nsga2,1.1833567801600395
abz5,0,0,nsga3,1.1924629928679773
abz5,0,1,nsga2,1.192613663952115
abz5,0,1,nsga3,1.1833567801600395
abz5,0,2,nsga2,1.192613663952115
abz5,0,2,nsga3,1.1924629928679773
abz5,0,3,nsga2,1.2044281589532337
abz5,0,3,nsga3,1.1924629928679773
abz5,0,4,nsga2,1.192613663952115
abz5,0,4,nsga3,1.192613663952115
abz5,0,0,dom,0.8576597880132022
abz5,0,1,dom,0.8576597880132022
abz5,0,2,dom,0.8576597880132022
abz5,0,3,dom,0.8576597880132022
abz5,0,4,dom,0.8576597880132022
abz5,0,0,wdeg,0.908566919825824
abz5,0,1,wdeg,0.908566919825824
abz5,0,2,wdeg,0.908566919825824
abz5,0,3,wdeg,0.908566919825824
abz5,0,4,wdeg,0.908566919825824
abz5,0,0,activity,0.8370236837009868
abz5,0,1,activity,0.8370236837009868
abz5,0,2,activity,0.8370236837009868
abz5,0,3,activity,0.8370236837009868
abz5,0,4,activity,0.8370236837009868
abz5,0,0,mo_dyn_hd_cacd,0.9170070135673722
abz5,0,1,mo_dyn_hd_cacd,0.9170070135673722
abz5,0,2,mo_dyn_hd_cacd,0.9170070135673722
abz5,0,3,mo_dyn_hd_cacd,0.9170070135673722
abz5,0,4,mo_dyn_hd_cacd,0.9170070135673722
abz5,0,0,nsga2,1.1833567801600395
abz5,0,0,nsga3,1.1924629928679773
abz5,0,1,nsga2,1.192613663952115
abz5,0,1,nsga3,1.1833567801600395
abz5,0,2,nsga2,1.192613663952115
abz5,0,2,nsga3,1.1924629928679773
abz5,0,3,nsga2,1.2044281589532337
abz5,0,3,nsga3,1.1924629928679773
abz5,0,4,nsga2,1.192613663952115
abz5,0,4,nsga3,1.192613663952115
abz5,1,0,dom,1.1571063560993988
abz5,1,1,dom,1.1571063560993988
abz5,1,2,dom,1.1571063560993988
abz5,1,3,dom,1.1571063560993988
abz5,1,4,dom,1.1571063560993988
abz5,1,0,wdeg,1.1609255789202655
abz5,1,1,wdeg,1.1609255789202655
abz5,1,2,wdeg,1.1609255789202655
abz5,1,3,wdeg,1.1609255789202655
abz5,1,4,wdeg,1.1609255789202655
abz5,1,0,activity,0.9510866024851258
abz5,1,1,activity,0.9510866024851258
abz5,1,2,activity,0.9510866024851258
abz5,1,3,activity,0.9510866024851258
abz5,1,4,activity,0.9510866024851258
abz5,1,0,mo_dyn_hd_cacd,1.157295287646845
abz5,1,1,mo_dyn_hd_cacd,1.157295287646845
abz5,1,2,mo_dyn_hd_cacd,1.157295287646845
abz5,1,3,mo_dyn_hd_cacd,1.157295287646845
abz5,1,4,mo_dyn_hd_cacd,1.157295287646845
abz5,1,0,nsga2,1.2095594608905982
abz5,1,0,nsga3,1.2092367642825708
abz5,1,1,nsga2,1.209238336274935
abz5,1,1,nsga3,1.2091241866499756
abz5,1,2,nsga2,1.2092529333468922
abz5,1,2,nsga3,1.2072725394550108
abz5,1,3,nsga2,1.2095746272222487
abz5,1,3,nsga3,1.2091329605608476
abz5,1,4,nsga2,1.2092529333468922
abz5,1,4,nsga3,1.2091091404373429
abz5,1,0,dom,1.1571063560993988
abz5,1,1,dom,1.1571063560993988
abz5,1,2,dom,1.1571063560993988
abz5,1,3,dom,1.1571063560993988
abz5,1,4,dom,1.1571063560993988
abz5,1,0,wdeg,1.1612090222000155
abz5,1,1,wdeg,1.1612090222000155
abz5,1,2,wdeg,1.1612090222000155
abz5,1,3,wdeg,1.1612090222000155
abz5,1,4,wdeg,1.1612090222000155
abz5,1,0,activity,0.9268877599070682
abz5,1,1,activity,0.9268877599070682
abz5,1,2,activity,0.9268877599070682
abz5,1,3,activity,0.9268877599070682
abz5,1,4,activity,0.9268877599070682
abz5,1,0,mo_dyn_hd_cacd,1.157295287646845
abz5,1,1,mo_dyn_hd_cacd,1.157295287646845
abz5,1,2,mo_dyn_hd_cacd,1.157295287646845
abz5,1,3,mo_dyn_hd_cacd,1.157295287646845
abz5,1,4,mo_dyn_hd_cacd,1.157295287646845
abz5,1,0,nsga2,1.209563952297354
abz5,1,0,nsga3,1.2092367642825708
abz5,1,1,nsga2,1.2091363813415748
abz5,1,1,nsga3,1.2092099307384867
abz5,1,2,nsga2,1.2092529333468922
abz5,1,2,nsga3,1.209194884525854
abz5,1,3,nsga2,1.2095594608905982
abz5,1,3,nsga3,1.2092014649590082
abz5,1,4,nsga2,1.2092529333468922
abz5,1,4,nsga3,1.209187405811349
abz5,2,0,dom,1.1515030096930674
abz5,2,1,dom,1.1515030096930674
abz5,2,2,dom,1.1515030096930674
abz5,2,3,dom,1.1515030096930674
abz5,2,4,dom,1.1515030096930674
abz5,2,0,wdeg,1.1722657969707135
abz5,2,1,wdeg,1.1722657969707135
abz5,2,2,wdeg,1.1722657969707135
abz5,2,3,wdeg,1.1722657969707135
abz5,2,4,wdeg,1.1722657969707135
abz5,2,0,activity,0.010000000000000018
abz5,2,1,activity,0.010000000000000018
abz5,2,2,activity,0.010000000000000018
abz5,2,3,activity,0.010000000000000018
abz5,2,4,activity,0.010000000000000018
abz5,2,0,mo_dyn_hd_cacd,1.1667515394580459
abz5,2,1,mo_dyn_hd_cacd,1.1667515394580459
abz5,2,2,mo_dyn_hd_cacd,1.1667515394580459
abz5,2,3,mo_dyn_hd_cacd,1.1667515394580459
abz5,2,4,mo_dyn_hd_cacd,1.1667515394580459
abz5,2,0,nsga2,1.2076518195850205
abz5,2,0,nsga3,1.2076515547608595
abz5,2,1,nsga2,1.2076517089622696
abz5,2,1,nsga3,1.207480622497684
abz5,2,2,nsga2,1.2076507686688882
abz5,2,2,nsga3,1.2046400057456788
abz5,2,3,nsga2,1.207651811204509
abz5,2,3,nsga3,1.2075512031648832
abz5,2,4,nsga2,1.2074808470953902
abz5,2,4,nsga3,1.207480622497684
abz5,2,0,dom,1.1515030096930674
abz5,2,1,dom,1.1515030096930674
abz5,2,2,dom,1.1515030096930674
abz5,2,3,dom,1.1515030096930674
abz5,2,4,dom,1.1515030096930674
abz5,2,0,wdeg,1.172590630621752
abz5,2,1,wdeg,1.172590630621752
abz5,2,2,wdeg,1.172590630621752
abz5,2,3,wdeg,1.172590630621752
abz5,2,4,wdeg,1.172590630621752
abz5,2,0,activity,0.5873170458093842
abz5,2,1,activity,0.5873170458093842
abz5,2,2,activity,0.5873170458093842
abz5,2,3,activity,0.5873170458093842
abz5,2,4,activity,0.5873170458093842
abz5,2,0,mo_dyn_hd_cacd,1.1667709688357275
abz5,2,1,mo_dyn_hd_cacd,1.1667709688357275
abz5,2,2,mo_dyn_hd_cacd,1.1667709688357275
abz5,2,3,mo_dyn_hd_cacd,1.1667709688357275
abz5,2,4,mo_dyn_hd_cacd,1.1667709688357275
abz5,2,0,nsga2,1.2076518195850205
abz5,2,0,nsga3,1.2076515547608595
abz5,2,1,nsga2,1.2076517089622696
abz5,2,1,nsga3,1.207480622497684
abz5,2,2,nsga2,1.2076518195850205
abz5,2,2,nsga3,1.2046400057456788
abz5,2,3,nsga2,1.2076518983618276
abz5,2,3,nsga3,1.2075512031648832
abz5,2,4,nsga2,1.2074808470953902
abz5,2,4,nsga3,1.207480622497684
abz5,3,0,dom,1.1150407426089415
abz5,3,1,dom,1.1150407426089415
abz5,3,2,dom,1.1150407426089415
abz5,3,3,dom,1.1150407426089415
abz5,3,4,dom,1.1150407426089415
abz5,3,0,wdeg,1.170146173715888
abz5,3,1,wdeg,1.170146173715888
abz5,3,2,wdeg,1.170146173715888
abz5,3,3,wdeg,1.170146173715888
abz5,3,4,wdeg,1.170146173715888
abz5,3,0,activity,0.0
abz5,3,1,activity,0.0
abz5,3,2,activity,0.0
abz5,3,3,activity,0.0
abz5,3,4,activity,0.0
abz5,3,0,mo_dyn_hd_cacd,1.1425756729311543
abz5,3,1,mo_dyn_hd_cacd,1.1425756729311543
abz5,3,2,mo_dyn_hd_cacd,1.1425756729311543
abz5,3,3,mo_dyn_hd_cacd,1.1425756729311543
abz5,3,4,mo_dyn_hd_cacd,1.1425756729311543
abz5,3,0,nsga2,1.2089533335014704
abz5,3,0,nsga3,1.2089336676382159
abz5,3,1,nsga2,1.2089546307413033
abz5,3,1,nsga3,1.2087760751881576
abz5,3,2,nsga2,1.2097829269090286
abz5,3,2,nsga3,1.2087225737987368
abz5,3,3,nsga2,1.2089471447896363
abz5,3,3,nsga3,1.2089137335486793
abz5,3,4,nsga2,1.2089533335014704
abz5,3,4,nsga3,1.2089592832480722
abz5,3,0,dom,1.1150407426089415
abz5,3,1,dom,1.1150407426089415
abz5,3,2,dom,1.1150407426089415
abz5,3,3,dom,1.1150407426089415
abz5,3,4,dom,1.1150407426089415
abz5,3,0,wdeg,1.1636378222309305
abz5,3,1,wdeg,1.1636378222309305
abz5,3,2,wdeg,1.1636378222309305
abz5,3,3,wdeg,1.1636378222309305
abz5,3,4,wdeg,1.1636378222309305
abz5,3,0,activity,0.010000000000000018
abz5,3,1,activity,0.010000000000000018
abz5,3,2,activity,0.010000000000000018
abz5,3,3,activity,0.010000000000000018
abz5,3,4,activity,0.010000000000000018
abz5,3,0,mo_dyn_hd_cacd,1.144237323282742
abz5,3,1,mo_dyn_hd_cacd,1.144237323282742
abz5,3,2,mo_dyn_hd_cacd,1.144237323282742
abz5,3,3,mo_dyn_hd_cacd,1.144237323282742
abz5,3,4,mo_dyn_hd_cacd,1.144237323282742
abz5,3,0,nsga2,1.2089533335014704
abz5,3,0,nsga3,1.2089331019246046
abz5,3,1,nsga2,1.2089546307413033
abz5,3,1,nsga3,1.2087760751881576
abz5,3,2,nsga2,1.2097891131824419
abz5,3,2,nsga3,1.2087225737987368
abz5,3,3,nsga2,1.2089471447896363
abz5,3,3,nsga3,1.2087532466932047
abz5,3,4,nsga2,1.2089533335014704
abz5,3,4,nsga3,1.2089595319669877
abz5,4,0,dom,1.1285501861255298
abz5,4,1,dom,1.1285501861255298
abz5,4,2,dom,1.1285501861255298
abz5,4,3,dom,1.1285501861255298
abz5,4,4,dom,1.1285501861255298
abz5,4,0,wdeg,1.1704396326897368
abz5,4,1,wdeg,1.1704396326897368
abz5,4,2,wdeg,1.1704396326897368
abz5,4,3,wdeg,1.1704396326897368
abz5,4,4,wdeg,1.1704396326897368
abz5,4,0,activity,0.010000000000000018
abz5,4,1,activity,0.010000000000000018
abz5,4,2,activity,0.010000000000000018
abz5,4,3,activity,0.010000000000000018
abz5,4,4,activity,0.010000000000000018
abz5,4,0,mo_dyn_hd_cacd,1.1506520925830506
abz5,4,1,mo_dyn_hd_cacd,1.1506520925830506
abz5,4,2,mo_dyn_hd_cacd,1.1506520925830506
abz5,4,3,mo_dyn_hd_cacd,1.1506520925830506
abz5,4,4,mo_dyn_hd_cacd,1.1506520925830506
abz5,4,0,nsga2,1.2090744147047183
abz5,4,0,nsga3,1.2090591906196835
abz5,4,1,nsga2,1.2090754189469055
abz5,4,1,nsga3,1.2089251780864012
abz5,4,2,nsga2,1.2098319555489188
abz5,4,2,nsga3,1.2088837606468787
abz5,4,3,nsga2,1.2090696237899239
abz5,4,3,nsga3,1.2089075056891172
abz5,4,4,nsga2,1.2090744147047183
abz5,4,4,nsga3,1.209079020627531
abz5,4,0,dom,1.1285501861255298
abz5,4,1,dom,1.1285501861255298
abz5,4,2,dom,1.1285501861255298
abz5,4,3,dom,1.1285501861255298
abz5,4,4,dom,1.1285501861255298
abz5,4,0,wdeg,1.1704396326897368
abz5,4,1,wdeg,1.1704396326897368
abz5,4,2,wdeg,1.1704396326897368
abz5,4,3,wdeg,1.1704396326897368
abz5,4,4,wdeg,1.1704396326897368
abz5,4,0,activity,0.15469613755052386
abz5,4,1,activity,0.15469613755052386
abz5,4,2,activity,0.15469613755052386
abz5,4,3,activity,0.15469613755052386
abz5,4,4,activity,0.15469613755052386
abz5,4,0,mo_dyn_hd_cacd,1.1634193572476248
abz5,4,1,mo_dyn_hd_cacd,1.1634193572476248
abz5,4,2,mo_dyn_hd_cacd,1.1634193572476248
abz5,4,3,mo_dyn_hd_cacd,1.1634193572476248
abz5,4,4,mo_dyn_hd_cacd,1.1634193572476248
abz5,4,0,nsga2,1.2090744147047183
abz5,4,0,nsga3,1.2090591906196835
abz5,4,1,nsga2,1.2090754189469055
abz5,4,1,nsga3,1.2089251780864012
abz5,4,2,nsga2,1.20983674457604
abz5,4,2,nsga3,1.2088837606468787
abz5,4,3,nsga2,1.2090696237899239
abz5,4,3,nsga3,1.2089075056891172
abz5,4,4,nsga2,1.2090744147047183
abz5,4,4,nsga3,1.2090792131702062
abz6,0,0,dom,1.1581556817612724
abz6,0,1,dom,1.1581556817612724
abz6,0,2,dom,1.1581556817612724
abz6,0,3,dom,1.1581556817612724
abz6,0,4,dom,1.1581556817612724
abz6,0,0,wdeg,1.1756052157249104
abz6,0,1,wdeg,1.1756052157249104
abz6,0,2,wdeg,1.1756052157249104
abz6,0,3,wdeg,1.1756052157249104
abz6,0,4,wdeg,1.1756052157249104
abz6,0,0,activity,1.1650390934136514
abz6,0,1,activity,1.1650390934136514
abz6,0,2,activity,1.1650390934136514
abz6,0,3,activity,1.1650390934136514
abz6,0,4,activity,1.1650390934136514
abz6,0,0,mo_dyn_hd_cacd,1.1593447160016828
abz6,0,1,mo_dyn_hd_cacd,1.1593447160016828
abz6,0,2,mo_dyn_hd_cacd,1.1593447160016828
abz6,0,3,mo_dyn_hd_cacd,1.1593447160016828
abz6,0,4,mo_dyn_hd_cacd,1.1593447160016828
abz6,0,0,nsga2,1.2099442134686307
abz6,0,0,nsga3,1.2099482760429112
abz6,0,1,nsga2,1.2099472665547564
abz6,0,1,nsga3,1.2099482760429112
abz6,0,2,nsga2,1.2099440903603191
abz6,0,2,nsga3,1.2099482760429112
abz6,0,3,nsga2,1.2099451737134606
abz6,0,3,nsga3,1.2099482760429112
abz6,0,4,nsga2,1.2099482760429112
abz6,0,4,nsga3,1.2099482760429112
abz6,0,0,dom,1.1581556817612724
abz6,0,1,dom,1.1581556817612724
abz6,0,2,dom,1.1581556817612724
abz6,0,3,dom,1.1581556817612724
abz6,0,4,dom,1.1581556817612724
abz6,0,0,wdeg,1.1756052157249104
abz6,0,1,wdeg,1.1756052157249104
abz6,0,2,wdeg,1.1756052157249104
abz6,0,3,wdeg,1.1756052157249104
abz6,0,4,wdeg,1.1756052157249104
abz6,0,0,activity,1.1341215901890753
abz6,0,1,activity,1.1341215901890753
abz6,0,2,activity,1.1341215901890753
abz6,0,3,activity,1.1341215901890753
abz6,0,4,activity,1.1341215901890753
abz6,0,0,mo_dyn_hd_cacd,1.1850439589003396
abz6,0,1,mo_dyn_hd_cacd,1.1850439589003396
abz6,0,2,mo_dyn_hd_cacd,1.1850439589003396
abz6,0,3,mo_dyn_hd_cacd,1.1850439589003396
abz6,0,4,mo_dyn_hd_cacd,1.1850439589003396
abz6,0,0,nsga2,1.2099442134686307
abz6,0,0,nsga3,1.2099482760429112
abz6,0,1,nsga2,1.2099472665547564
abz6,0,1,nsga3,1.2099482760429112
abz6,0,2,nsga2,1.2099451737134606
abz6,0,2,nsga3,1.2099482760429112
abz6,0,3,nsga2,1.2099451737134606
abz6,0,3,nsga3,1.2099482760429112
abz6,0,4,nsga2,1.2099482760429112
abz6,0,4,nsga3,1.2099482760429112
abz6,1,0,dom,0.42220775018202417
abz6,1,1,dom,0.42220775018202417
abz6,1,2,dom,0.42220775018202417
abz6,1,3,dom,0.42220775018202417
abz6,1,4,dom,0.42220775018202417
abz6,1,0,wdeg,0.6156809280171114
abz6,1,1,wdeg,0.6156809280171114
abz6,1,2,wdeg,0.6156809280171114
abz6,1,3,wdeg,0.6156809280171114
abz6,1,4,wdeg,0.6156809280171114
abz6,1,0,activity,0.08356240417836591
